airline_name,country,country_code,active
Avia Air N.V.,Aruba,ABW,N
Arubaexel,Aruba,ABW,N
Ilpo Aruba Cargo,Aruba,ABW,N
Royal Aruban Airline,Aruba,ABW,N
Tiara Air,Aruba,ABW,Y
Aruba Airlines,Aruba,ABW,Y
Ariana Afghan Airlines,Afghanistan,AFG,Y
Balkh Airlines,Afghanistan,AFG,N
Kam Air,Afghanistan,AFG,Y
Khyber Afghan Airlines,Afghanistan,AFG,N
Marcopolo Airways,Afghanistan,AFG,N
Pamir Airways,Afghanistan,AFG,N
Safi Airlines,Afghanistan,AFG,Y
East Horizon,Afghanistan,AFG,Y
Air-Angol,Angola,AGO,N
Angola Air Charter,Angola,AGO,N
Angola Air Charter,Angola,AGO,N
Angoservice,Angola,AGO,N
Aviacao Transportes Aereos e Cargas,Angola,AGO,N
Air Cruzal,Angola,AGO,N
AF-Air International,Angola,AGO,N
Aeronautica,Angola,AGO,N
Air Gemini,Angola,AGO,N
Avita-Servicos Aereos,Angola,AGO,N
Air Kissari,Angola,AGO,N
Airjet Exploracao Aerea De Carga,Angola,AGO,N
Aeropublicitaria De Angola,Angola,AGO,N
Air Metack,Angola,AGO,N
ACA-Ancargo Air Sociedade de Transporte de Carga Lda,Angola,AGO,N
Angoavia,Angola,AGO,N
Alada,Angola,AGO,N
Air Cassai,Angola,AGO,N
Aero Tropical,Angola,AGO,N
EFAOS- Agencia De Viagens e Turismo,Angola,AGO,N
Ecomex Air Cargo,Angola,AGO,N
Etram Air Wing,Angola,AGO,N
Nacoia Lda,Angola,AGO,N
Nas Air,Angola,AGO,N
Organizacoes Mambra,Angola,AGO,N
Pinframat,Angola,AGO,N
Planar,Angola,AGO,N
Socofer,Angola,AGO,N
Savanair (Angola),Angola,AGO,N
Super Luza,Angola,AGO,N
Sonair Servico Aereo,Angola,AGO,N
Transteco,Angola,AGO,N
Trans Air Welwitchia,Angola,AGO,N
TAAG Angola Airlines,Angola,AGO,Y
VH-Air Industrie,Angola,AGO,N
Voar Lda,Angola,AGO,N
Air 26,Angola,AGO,Y
Ada Air,Albania,ALB,Y
Albanian Airlines,Albania,ALB,Y
Albatros Airways,Albania,ALB,N
Belle Air,Albania,ALB,N
Aerovista Airlines,United Arab Emirates,ARE,N
Air Arabia,United Arab Emirates,ARE,Y
Avjet International (FZE),United Arab Emirates,ARE,N
Aerovista Gulf Express,United Arab Emirates,ARE,N
Abu Dhabi Amiri Flight,United Arab Emirates,ARE,Y
Al Rais Cargo,United Arab Emirates,ARE,N
Ave.com,United Arab Emirates,ARE,N
Flying Dolphin Airlines,United Arab Emirates,ARE,N
Dubai Airwing,United Arab Emirates,ARE,N
